"Jun 19, 2024,K3 0 24 014,Cover Sidewall AC,Temuan suara asing pada AC ujung 1,Tindak Lanjut pemberian spons sebagai peredam pda bagian kisi-kisi evap yg bergetar (Close),1,-"
"Jun 18, 2024,K1 0 23 047,Cover Sidewall AC,temuan suara asing pada ruang radiator AC,""TDL pemasangan ganjalan spons pada kisi kisi evap dengan hasil baik,suara asing tidak ada"",1,""https://drive.google.com/open?id=1yXoCZZAS1N5wNdHxyap_4d8_AkzndmMo https://drive.google.com/open?id=10uUbq_3lEIyEWYSLBF85oE_s9uYPfDpx"""
"Jun 17, 2024,K3 0 24 017,Cover Sidewall AC,""terdengar suara asing dari ac atas ujung 2,"",TDL MEMBERI ganjal pada cover coil dengan harmaflek (close),1,-"
"Jun 14, 2024,K1 0 24 005,Cover Sidewall AC,temuan lintas di atas kereta terdengar suara asing,tdl sementara diganjel dengan karet agar tidak terdengar suara berisik,1,-"
"May 22, 2024,K1 0 24 012,Cover Sidewall AC,Temuan suara asing pada AC ujung 1,Tindak lanjut penambahan spons sebagai peredam pada area yang bergetar.,1,-"
"May 18, 2024,M1 0 24 004,Cover Sidewall AC,Temuan suara asing pada ac unit,Dilakukan penambahan spons pada area side wall dan coil kondensor,1,-"
"May 17, 2024,K3 0 24 013,Cover Sidewall AC,Temuan suara bising dari luar pada Ac unit 1.,TL Pemasangan spon pada area pertemuan coil condensor dan dinding Cover AC (Pantauan),1,-"
"Apr 22, 2024,M1 0 24 004,Cover Sidewall AC,Terdapat suara asing pada unit Ac ujung 2,TDL dilakukan pengecekan unit ac dan penambahan peredam agar tidak bersuara.,1,-"
"Apr 11, 2024,K3 0 24 016,Cover Sidewall AC,Terdengar asing rofftop ujung 1 kemungkinan suara dari evap ac,-,1,https://drive.google.com/open?id=1J66mjfBBPNNEaCbPUec9PIf4329aTh8o"
"Feb 19, 2024,K1 0 23 021,Cover Sidewall AC,Temuan suara asing di outdoor ac ujung 1,pasang spon pada area pertemuan coil condensor dan sisi side wall,1,-"
"Feb 14, 2024,K1 0 23 045,Cover Sidewall AC,""temuan suara asing AC outdoor DI ujung 2 , ditemukan cover condensol coil bergetar."",pemberian sepon ati pada sisi celah pertemuan cover dengan sidewall,1,https://drive.google.com/open?id=1yylEFfGqY4Zsx1tTuRPwIMXati5jnhvv"
"Feb 6, 2024,K1 0 23 024,Cover Sidewall AC,Terdengar suara asing di outdoor AC,-,1,-"
"Feb 4, 2024,K1 0 23 021,Cover Sidewall AC,K1 023 21 terdengar suara bising dari AC indikasi karna cover evap kendor.,TDL pengencangan kembali pada baut cover evap yg kendor dan pemberian peredam menggunakan karet selang air (MONITORING),1,https://drive.google.com/open?id=10CukkZ50737NXlf2wU829RVP0XHSmngx"
"Jan 30, 2024,K1 0 23 021,Cover Sidewall AC,Terdengar suara asing pada outdoor AC sisi timur,Pasang spon pada area pertemuan sisi side wall dan coil kondensor. Sudah cek ketika AC aktif dan tidak ditemukan suara asing,1,https://drive.google.com/open?id=1ODKx1LVh-3Hk0J3m_J8Rc2sboFkI6u4g"
"Jan 27, 2024,K1 0 23 041,Cover Sidewall AC,Terdapat suara asing pada unit luar ac 1,-,1,-"
"Jan 3, 2024,K1 0 23 029,Cover Sidewall AC,Suara dengung di ac,Penambahan stoper antara konden thdap cover ac,1,https://drive.google.com/open?id=1g4_oTQ-VJxUg-JnPd_JY24mZYpCz24dH"
"Jan 3, 2024,K1 0 23 029,Cover Sidewall AC,Ada suara getaran di area kondensor ac,diberikan bantalan pada celah antara coil condenser dan lantai casing untuk menghindari munculnya getaran dan suara asing muncul,1,-"
"Jan 2, 2024,K1 0 23 022,Cover Sidewall AC,Ada suara getaran di area kondensor ac,Memberi peredam karet pada cover kondensor ac,1,https://drive.google.com/open?id=1e3reg14TJG3OlpcOLsRUvC2LVeB-SATk"
"Jan 2, 2024,K1 0 23 022,Cover Sidewall AC,Ada suara getaran di area kondensor ac,diberikan bantalan pada celah antara coil condenser dan lantai casing untuk menghindari munculnya getaran dan suara asing muncul,1,-"
"Jan 2, 2024,K1 0 23 021,Cover Sidewall AC,Ada suara aneh di area condenser,-,1,https://drive.google.com/open?id=16fEYgIXT8kFn-6FgkB9BP3EzqETsFhIt"
"Jan 1, 2024,K1 0 23 022,Cover Sidewall AC,Ada suara bising di unit AC ujung 1,-,1,https://drive.google.com/open?id=1p3IcaSHF_vQWLvDsgMOd_yPnBHP3vYGc"
"Jan 1, 2024,K1 0 23 022,Cover Sidewall AC,Suara asing dari unit ac 1.,Pengechekan dan dan perbaikan cover di lis dgn contriben..,1,https://drive.google.com/open?id=1p8hShvUXWAe2uaNQ5AjOkCX9xyLaVjCa"
"Dec 23, 2023,K1 0 23 021,Cover Sidewall AC,Ditemukan suara asing pada AC K1 023 21,-,1,https://drive.google.com/open?id=1_WfKIz2uU7TqcGKQfHSlWj6ZgWIaLr_2"
"Dec 23, 2023,K1 0 23 021,Cover Sidewall AC,Terdapat suara asing di AC unit saat beroperasi dan kereta berjalan,diberikan bantalan pada celah antara coil condenser dan lantai casing untuk menghindari munculnya getaran dan suara asing muncul,1,-"
