"Jul 25, 2024,K1 0 23 011,Filter strainer,Temuan tengki air kloset pada lavatory pria tidak terisi,""tdl dilakukan pengecekan pada filter input tengki kotor, sudah di lakukan pembersihan hasil tengki dapat terisi"",1,https://drive.google.com/open?id=1olaaQ7titUK-EgR5jk2RwebL493wnSNQ"
"Jul 22, 2024,K1 0 23 009,Filter strainer,Tangki air kloset tidak dapat terisi,Tindak lanjut dilakukan pengecekan pada filter input tangki dalam kondisi kotor. Dilakukan pembersihan filter dengan hasil tangki dapat terisi.,1,https://drive.google.com/open?id=1Mg8l7eNQyy1UZ1EwHk90zwnYiht5dWMQ"
"Jul 7, 2024,K1 0 23 048,Filter strainer,""toilet pria air tidak menggalir, indikas filter stranier kotor,"",dilakukan pembersihan filter strainer,1,https://drive.google.com/open?id=1gBTan6HQLHGsuWSn3C5fO7x72uLIAJJs"
"Jul 6, 2024,K1 0 23 048,Filter strainer,Toilet pria dan wanita tidak dapat mengeluarkan air. Sudah di lakukan TL namun blm berhasil (Open),-,1,-"
"Jul 6, 2024,K1 0 23 014,Filter strainer,""Toilet ujung satu saat kran wastafel dinyalakan pompa tidak bekerja,"",""dilakukan pengecekan pada switch pompa sudah pada mode otomatis, dilanjutkan pengecekan pada filter kran terdapat sumbatan kotoran yang mengakibatkan keluaran air tidak lancar dan menyebabkan pompa tidak bekerja secara otomatis.TL dilakukan pembersihan pada filter kran dengan hasil pompa sudah bekerja"",1,https://drive.google.com/open?id=1geHA6pwCBqt79drMb3GhVsI92M2FrYKv"
"Jul 6, 2024,K1 0 23 045,Filter strainer,temuan air tidak mau ngisi otomatis pada tangki,TDL di lakukan pembersihan katup dan air dapat mengisi dengan baik,1,-"
"Jul 6, 2024,K1 0 23 047,Filter strainer,Toilet pria tidak dapat mengeluarkan air. Sudah dilakukan TL namun blm berhasil (Open),-,1,-"
"Jul 4, 2024,K1 0 23 001,Filter strainer,""Aliran air pada keran wastafel kecil,"",""dilakukan pengecekan pada filter strainer terdapat banyak kotoran ,TL pembersihan filter strainer dengan hasil aliran air pada wastafel lancar"",1,https://drive.google.com/open?id=17ujX-3NzZHB5roZWzni2LD86FdXaMunB"
"Jul 2, 2024,K1 0 23 047,Filter strainer,k102347 temuan lintas toilet pria air wastafel dan shower tidak ngalir (open),-,1,-"
"Jun 24, 2024,K3 0 24 008,Filter strainer,Toilet wanita aliran air kecil,Sudah dilakukan perbaikan oleh tim DC kai,1,-"
"Jun 20, 2024,K1 0 23 008,Filter strainer,K1 023 08 toilet wanita tidak mengeluarkan air,-,1,-"
"Jun 19, 2024,K1 0 23 043,Filter strainer,temuan air mengalir kecil wastafel toilet pria dan wanita,TDL di lakukan pembersihan pada filter strainer dengan hasil baik.,1,https://drive.google.com/open?id=1nvkY6bQpTc4ZUIXOsu_H6wuX-mqZ5CmY"
"Jun 19, 2024,K1 0 23 045,Filter strainer,2. K1 0 23 45 keluaran air pada Toilet pria kecil,-,1,-"
"Jun 16, 2024,K3 0 24 005,Filter strainer,Temuan Toilet wanita saat di flushing tidak keluar air,Tindak lanjut dilakukan pembersihan pda filter flush dan setting apung-apung agar air normal mengisi di water tank (Close),1,-"
"Jun 16, 2024,K1 0 24 006,Filter strainer,Toilet wanita tidak bisa flushing,Pembersihan filter.( Close),1,-"
"Jun 13, 2024,K1 0 23 052,Filter strainer,Temuan Toilet wanita dan pria air wastafel tidak keluar,TDL pembersihan pda filter strainer Dan ubah aliran pompa menjadi water pump 1 hasil air berfungsi normal deras,1,-"
"Jun 12, 2024,K1 0 23 044,Filter strainer,temuan air pada wastafel tidak mengalir deras.di lakukan pengecekan di temukan filter strainer kotor,TDL di lakukan pembersihan filter strainer dengan hasil air mengalir deras.(Close),1,-"
"Jun 10, 2024,K1 0 23 052,Filter strainer,temuan air wastafell dan shower tidak mengalir,tdl melakukan pembersihan filter strainel alhasil air mengalir kembali (close),1,-"
"Jun 6, 2024,K1 0 23 044,Filter strainer,""temuan air pada wastafel mengalir kecil, di lakukan pengencekan pada filter strainer di temukan kotor"",TDL di lakukan pembersihan pada filter strainer dengan hasil air mengalir normal kembali,1,-"
"Jun 5, 2024,K1 0 24 006,Filter strainer,Aliran air pada toilet wanita tersumbat,Dilakukan pembersihan pada filter strainer,1,https://drive.google.com/open?id=1tU8hseyPHCu56YWBgyhUPxwBGMj-uOAs"
"Jun 5, 2024,K1 0 23 052,Filter strainer,Temuan toilet pria air wastafel mengalir kecil indikasi ada kotoran yg menyumbat sehingga air mengalir kecil,TL melakukan pembersihan filter strainer dan penembakan air dengan selang ke jet shower mengeluarkan kotoran dan menunggu 1menit hasil air kembali normal CLOSE,1,-"
"Jun 2, 2024,K1 0 24 012,Filter strainer,""temuan kran dah shoower toilet wanita tidak keluar air, indikasi filter strainer kotor"",tdl melakukan pembersihan filter strainer hasil air kembali keluar (close),1,-"
"Jun 1, 2024,K1 0 23 059,Filter strainer,Temuan toilet wanita wastafel tidak mengeluarkan air,TDL pembersihan pda filter strainer,1,-"
"May 27, 2024,K1 0 23 059,Filter strainer,Toilet pria eks 4 flushing lemah / kecil,-,1,-"
